,model_id,model_name
0,0,wahaha1987/llama_13b_sharegpt94k_fastchat
1,1,wahaha1987/llama_7b_sharegpt94k_fastchat
2,2,conceptofmind/LLongMA-2-13b-16k
3,3,AGI-inc/lora_moe_7b
4,4,AGI-inc/lora_moe_7b_baseline
5,5,hakurei/lotus-12B
6,6,Tap-M/Luna-AI-Llama2-Uncensored
7,7,CobraMamba/mamba-gpt-3b
8,8,CobraMamba/mamba-gpt-3b-v2
9,9,CobraMamba/mamba-gpt-3b-v3
10,10,ashercn97/manatee-7b
11,11,openaccess-ai-collective/manticore-13b
12,12,openaccess-ai-collective/manticore-13b-chat-pyg
13,13,Monero/Manticore-13b-Chat-Pyg-Guanaco
14,14,openaccess-ai-collective/manticore-30b-chat-pyg-alpha
15,15,medalpaca/medalpaca-7b
16,16,alibidaran/medical_transcription_generator
17,17,xzuyn/MedicWizard-7B
18,18,chaoyi-wu/MedLLaMA_13B
19,19,KnutJaegersberg/megatron-GPT-2-345m-EvolInstruct
20,20,PygmalionAI/metharme-1.3b
21,21,TehVenom/Metharme-13b-Merged
22,22,Neko-Institute-of-Science/metharme-7b
23,23,openaccess-ai-collective/minotaur-13b
24,24,openaccess-ai-collective/minotaur-13b-fixed
25,25,psmathur/model_007
26,26,psmathur/model_420
27,27,psmathur/model_42_70b
28,28,psmathur/model_51
29,29,mosaicml/mpt-30b-chat
30,30,mosaicml/mpt-7b-chat
31,31,mosaicml/mpt-7b-instruct
32,32,mosaicml/mpt-7b-storywriter
33,33,BreadAi/MusePy-1-2
34,34,Gryphe/MythoBoros-13b
35,35,Gryphe/MythoLogic-13b
36,36,Gryphe/MythoLogic-L2-13b
37,37,Gryphe/MythoMix-L2-13b
38,38,jerryjalapeno/nart-100k-7b
39,39,NbAiLab/nb-gpt-j-6B-alpaca
40,40,NousResearch/Nous-Hermes-13b
41,41,Aspik101/Nous-Hermes-13b-pl-lora_unload
42,42,TheBloke/Nous-Hermes-13B-SuperHOT-8K-fp16
43,43,NousResearch/Nous-Hermes-llama-2-7b
44,44,NousResearch/Nous-Hermes-Llama2-13b
45,45,dvruette/oasst-gpt-neox-20b-1000-steps
46,46,dvruette/oasst-gpt-neox-20b-3000-steps
47,47,dvruette/oasst-llama-13b-1000-steps
48,48,dvruette/oasst-llama-13b-2-epochs
49,49,dvruette/oasst-pythia-12b-pretrained-sft
50,50,dvruette/oasst-pythia-6.9b-4000-steps
51,51,Yhyu13/oasst-rlhf-2-llama-30b-7k-steps-hf
52,52,OpenAssistant/oasst-sft-1-pythia-12b
53,53,OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5
54,54,cyberagent/open-calm-7b
55,55,VMware/open-llama-0.7T-7B-open-instruct-v1.1
56,56,Vmware/open-llama-7b-v2-open-instruct
57,57,openlm-research/open_llama_13b
58,58,klosax/open_llama_13b_600bt_preview
59,59,openlm-research/open_llama_3b
60,60,klosax/open_llama_3b_350bt_preview
61,61,danielhanchen/open_llama_3b_600bt_preview
62,62,openlm-research/open_llama_3b_v2
63,63,openlm-research/open_llama_7b
64,64,klosax/open_llama_7b_400bt_preview
65,65,quantumaikr/open_llama_7b_hf
66,66,openlm-research/open_llama_7b_v2
